Учетн. номер дороги (новый),Учетн. номер дороги,Наименование автомобильной дороги (новое),Протяженность (км),Начало (км+…),Конец (км+…),Органы управления дорожным хозяйством, в оперативное управление которых переданы автомобильные дороги федерального значения,Телефоны оперативных дежурных служб,
"М-2 ""Крым"" - от Москвы через Тулу, Орел, Курск, Белгород до границы с Украиной (на Харьков, Днепропетровск, Симферополь)",М-2,Москва - Тула - Орел - Курск - Белгород - граница с Украиной,86,2,21+800,108+000,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,"- подъезд к историко-архитектурному комплексу ""Одинцово""",10,141,0+000,10+141,"ФКУ ""Центравтомагистраль""",(499) 251-01-22,
-,-,Москва - Тула - Орел - Курск - Белгород - граница с Украиной,47,63,108+000,155+652,ФКУ Упрдор Москва - Харьков,(4862) 77-77-69,
-,-,Москва - Тула - Орел - Курск - Белгород - граница с Украиной,545,581,160+472,703+820,ФКУ Упрдор Москва - Харьков,(4862) 77-77-69,
-,-,Москва - Тула - Орел - Курск - Белгород - граница с Украиной,21,64,155+652,177+292,ФКУ Упрдор Москва - Харьков,(4862) 77-77-69,
-,-,Москва - Тула - Орел - Курск - Белгород - граница с Украиной,7,492,0+000,7+492,ФКУ Упрдор Москва - Харьков,(4862) 77-77-69,
-,-,Москва - Тула - Орел - Курск - Белгород - граница с Украиной,8,98,28+720,37+700,ФКУ Упрдор Москва - Харьков,(4862) 77-77-69,
-,-,Москва - Тула - Орел - Курск - Белгород - граница с Украиной,5,42,41+460,46+880,ФКУ Упрдор Москва - Харьков,(4862) 77-77-69,
-,-,Москва - Тула - Орел - Курск - Белгород - граница с Украиной,3,863,0+000,3+863,ФКУ Упрдор Москва - Харьков,(4862) 77-77-69,
-,-,Москва - Тула - Орел - Курск - Белгород - граница с Украиной,4,271,22+200,27+000,ФКУ Упрдор Москва - Харьков,(4862) 77-77-69,
-,-,Москва - Тула - Орел - Курск - Белгород - граница с Украиной,17,618,401+100,418+454,ФКУ Упрдор Москва - Харьков,(4862) 77-77-69,
-,-,Москва - Тула - Орел - Курск - Белгород - граница с Украиной,10,804,475+000,484+000,ФКУ Упрдор Москва - Харьков,(4862) 77-77-69,
-,-,Москва - Тула - Орел - Курск - Белгород - граница с Украиной,3,7,0+000,3+700,ФКУ Упрдор Москва - Харьков,(4862) 77-77-69,
-,-,Москва - Тула - Орел - Курск - Белгород - граница с Украиной,7,5,23+550,31+050,ФКУ Упрдор Москва - Харьков,(4862) 77-77-69,
-,-,Москва - Тула - Орел - Курск - Белгород - граница с Украиной,11,59,585+000,598+000,ФКУ Упрдор Москва - Харьков,(4862) 77-77-69,
-,-,Москва - Тула - Орел - Курск - Белгород - граница с Украиной,8,118,0+000,8+000,ФКУ Упрдор Москва - Харьков,(4862) 77-77-69,
